vessel_name,capacity_tons,speed_knots,cargo_weight_tons,cargo_ratio,distance_nm,weather_condition,fuel_type,duration_days,fuel_per_day_tons,total_trip_fuel_tons
Vessel B,7000,14.01,2013.8,0.288,3364.9,Rough,Green Fuel,10.01,50.21,502.68
Vessel D,9000,8.31,6391.1,0.71,2947.3,Calm,Green Fuel,14.77,11.93,176.24
Vessel A,5000,21.28,3754.9,0.751,3457.0,Rough,Fuel A,6.77,195.11,1320.94
Vessel D,9000,20.49,2725.9,0.303,1435.9,Calm,Green Fuel,2.92,134.79,393.49
Vessel D,9000,18.17,4501.9,0.5,664.3,Calm,Fuel A,1.52,96.44,146.88
Vessel B,7000,10.07,2648.5,0.378,2508.2,Moderate,Fuel A,10.38,15.4,159.93
Vessel C,4000,10.68,3557.7,0.889,3697.1,Calm,Fuel B,14.42,17.45,251.71
Vessel A,5000,19.9,4469.4,0.894,1216.7,Moderate,Green Fuel,2.55,168.79,430.11
Vessel B,7000,20.8,6015.3,0.859,2864.9,Calm,Fuel B,5.74,152.76,876.78
Vessel B,7000,19.1,6790.3,0.97,2127.3,Calm,Fuel A,4.64,122.83,569.94
Vessel B,7000,18.2,1983.4,0.283,1573.9,Rough,Fuel A,3.6,91.06,328.05
Vessel C,4000,16.9,2920.3,0.73,1319.0,Moderate,Green Fuel,3.25,82.82,269.35
Vessel A,5000,11.65,4649.5,0.93,1009.1,Calm,Green Fuel,3.61,30.57,110.31
Vessel D,9000,13.98,1978.8,0.22,3930.2,Calm,Green Fuel,11.71,35.27,413.15
Vessel A,5000,12.46,2026.8,0.405,888.7,Calm,Fuel A,2.97,22.15,65.84
Vessel A,5000,10.77,1349.4,0.27,3760.8,Moderate,Green Fuel,14.55,16.97,246.82
Vessel D,9000,18.37,2592.7,0.288,3068.6,Moderate,Fuel B,6.96,92.19,641.56
Vessel B,7000,21.33,5533.6,0.791,3581.7,Moderate,Green Fuel,7.0,196.63,1375.95
Vessel A,5000,12.38,1520.7,0.304,628.0,Rough,Fuel A,2.11,28.78,60.84
Vessel D,9000,11.67,8170.0,0.908,1593.4,Moderate,Green Fuel,5.69,34.91,198.55
Vessel C,4000,10.39,1991.2,0.498,614.6,Moderate,Fuel A,2.46,15.99,39.4
Vessel D,9000,9.97,2687.4,0.299,3892.5,Rough,Fuel A,16.27,17.99,292.64
Vessel B,7000,16.08,1847.9,0.264,2644.0,Moderate,Green Fuel,6.85,60.31,413.25
Vessel A,5000,19.2,2577.9,0.516,2063.1,Calm,Fuel B,4.48,99.66,446.26
Vessel A,5000,15.62,1156.2,0.231,2433.3,Moderate,Fuel A,6.49,49.25,319.7
Vessel B,7000,14.84,6216.3,0.888,3575.2,Calm,Fuel A,10.04,57.68,578.89
Vessel C,4000,17.45,2593.9,0.648,3126.3,Calm,Fuel A,7.46,62.86,469.18
Vessel D,9000,14.16,3821.6,0.425,559.2,Calm,Green Fuel,1.64,42.94,70.63
Vessel B,7000,10.45,3776.7,0.54,876.9,Calm,Green Fuel,3.5,19.18,67.06
Vessel A,5000,16.5,1853.5,0.371,1340.6,Moderate,Green Fuel,3.38,64.66,218.84
Vessel B,7000,8.75,6887.7,0.984,1834.0,Moderate,Green Fuel,8.73,15.2,132.78
Vessel D,9000,18.77,8984.6,0.998,899.1,Calm,Fuel B,2.0,118.02,235.51
Vessel B,7000,20.19,2636.7,0.377,897.2,Moderate,Fuel B,1.85,118.58,219.54
Vessel D,9000,16.6,2505.8,0.278,2690.0,Rough,Fuel B,6.75,79.45,536.34
Vessel A,5000,13.39,3249.0,0.65,3295.5,Rough,Fuel B,10.25,45.9,470.53
Vessel D,9000,12.72,5570.2,0.619,533.5,Rough,Fuel A,1.75,45.0,78.65
Vessel D,9000,8.17,8255.5,0.917,2012.6,Rough,Fuel B,10.26,13.51,138.64
Vessel D,9000,10.14,7262.6,0.807,644.4,Moderate,Fuel A,2.65,21.29,56.4
Vessel A,5000,15.33,4650.2,0.93,1813.9,Rough,Green Fuel,4.93,91.23,449.9
Vessel A,5000,9.48,2083.3,0.417,878.9,Calm,Fuel B,3.86,9.67,37.38
Vessel D,9000,21.58,6100.5,0.678,3857.4,Calm,Green Fuel,7.45,191.1,1423.16
Vessel A,5000,21.78,4389.1,0.878,2940.0,Calm,Fuel A,5.63,169.29,952.35
Vessel D,9000,16.17,4494.7,0.499,2059.9,Rough,Fuel B,5.31,79.27,420.77
Vessel B,7000,12.48,5812.1,0.83,1498.4,Calm,Green Fuel,5.0,37.5,187.6
Vessel B,7000,21.81,6472.7,0.925,1009.3,Rough,Fuel B,1.93,227.71,439.05
Vessel A,5000,15.5,3831.4,0.766,2306.0,Calm,Green Fuel,6.2,65.59,406.73
Vessel D,9000,9.46,3721.0,0.413,2880.3,Moderate,Fuel A,12.68,13.31,168.79
Vessel B,7000,16.7,4085.7,0.584,1500.0,Calm,Fuel B,3.74,62.38,233.53
Vessel A,5000,21.97,4294.7,0.859,957.8,Calm,Fuel A,1.82,179.98,326.88
Vessel B,7000,18.74,3532.1,0.505,3471.2,Moderate,Fuel B,7.72,99.81,770.35
Vessel A,5000,20.04,4045.2,0.809,1916.9,Calm,Fuel A,3.99,131.12,522.65
Vessel C,4000,18.9,2059.1,0.515,1971.5,Rough,Fuel A,4.35,115.46,501.85
Vessel A,5000,15.29,3179.1,0.636,2784.9,Calm,Fuel A,7.59,48.57,368.67
Vessel A,5000,13.6,3023.4,0.605,1855.3,Moderate,Fuel A,5.68,41.4,235.31
Vessel A,5000,15.66,2838.5,0.568,1073.3,Calm,Fuel B,2.86,46.64,133.18
Vessel A,5000,13.58,1104.6,0.221,2297.9,Moderate,Fuel B,7.05,28.91,203.88
Vessel C,4000,12.12,2325.3,0.581,3054.0,Rough,Fuel A,10.5,27.33,286.94
Vessel A,5000,16.78,1720.1,0.344,3163.9,Calm,Fuel B,7.85,54.7,429.58
Vessel C,4000,20.6,3300.6,0.825,2115.4,Calm,Green Fuel,4.28,137.44,588.18
Vessel B,7000,21.97,5738.4,0.82,2652.2,Moderate,Fuel B,5.03,207.27,1042.77
Vessel A,5000,14.29,1048.5,0.21,3040.6,Moderate,Fuel A,8.87,31.93,283.18
Vessel D,9000,10.55,1959.1,0.218,1801.5,Calm,Fuel A,7.11,15.65,111.31
Vessel D,9000,15.81,6052.9,0.673,1304.8,Moderate,Green Fuel,3.44,75.8,260.58
Vessel C,4000,17.37,1189.2,0.297,1986.0,Calm,Fuel A,4.76,60.78,289.58
Vessel A,5000,13.8,3393.5,0.679,1479.8,Moderate,Fuel B,4.47,45.51,203.37
Vessel A,5000,9.45,1010.9,0.202,3291.2,Calm,Green Fuel,14.51,10.98,159.35
Vessel C,4000,12.66,901.0,0.225,2148.6,Moderate,Green Fuel,7.07,24.42,172.71
Vessel B,7000,16.33,6992.5,0.999,2713.0,Rough,Fuel A,6.92,108.4,750.39
Vessel A,5000,12.14,2286.9,0.457,1189.9,Moderate,Fuel A,4.08,26.36,107.61
Vessel D,9000,11.44,4116.7,0.457,1343.9,Calm,Fuel B,4.89,24.15,118.17
Vessel D,9000,17.7,4725.1,0.525,1044.3,Calm,Fuel A,2.46,91.69,225.37
Vessel A,5000,19.6,2860.0,0.572,3446.8,Calm,Fuel A,7.33,115.11,843.63
Vessel B,7000,21.08,4129.8,0.59,2529.1,Calm,Green Fuel,5.0,147.33,736.36
Vessel D,9000,19.86,8282.4,0.92,2953.2,Calm,Green Fuel,6.2,153.48,951.0
Vessel C,4000,11.13,2734.0,0.683,2180.1,Rough,Green Fuel,8.16,27.56,224.94
Vessel B,7000,12.84,3790.2,0.541,892.8,Calm,Fuel A,2.9,34.04,98.65
Vessel B,7000,19.52,3311.2,0.473,2792.1,Moderate,Fuel A,5.96,121.6,724.6
Vessel A,5000,13.95,4969.2,0.994,2356.6,Moderate,Green Fuel,7.04,56.93,400.85
Vessel C,4000,8.57,1798.8,0.45,3479.7,Rough,Green Fuel,16.92,11.46,193.89
Vessel C,4000,15.19,908.0,0.227,3459.5,Moderate,Green Fuel,9.49,47.96,455.26
Vessel B,7000,20.29,6750.5,0.964,2280.0,Calm,Fuel A,4.68,159.61,747.14
Vessel A,5000,14.46,1954.7,0.391,2680.9,Moderate,Green Fuel,7.73,42.57,328.84
Vessel C,4000,15.73,3777.0,0.944,3307.8,Moderate,Green Fuel,8.76,70.61,618.82
Vessel C,4000,13.47,949.0,0.237,3724.4,Moderate,Fuel B,11.52,27.02,311.41
Vessel D,9000,21.38,8591.0,0.955,3223.8,Calm,Fuel A,6.28,206.36,1296.22
Vessel C,4000,8.68,3688.8,0.922,1010.8,Moderate,Fuel A,4.85,10.93,53.01
Vessel A,5000,17.63,4068.0,0.814,1060.8,Calm,Fuel A,2.51,80.35,201.46
Vessel D,9000,18.45,7901.7,0.878,1028.6,Calm,Fuel A,2.32,123.24,286.21
Vessel D,9000,8.0,8508.9,0.945,3713.1,Moderate,Fuel B,19.34,9.78,189.09
Vessel D,9000,15.86,7968.7,0.885,2412.9,Moderate,Fuel B,6.34,85.32,540.86
Vessel A,5000,15.66,3637.8,0.728,2595.6,Rough,Fuel B,6.91,78.22,540.19
Vessel C,4000,9.63,3646.7,0.912,3684.8,Moderate,Fuel A,15.94,14.23,226.88
Vessel C,4000,9.64,1206.3,0.302,3570.6,Calm,Fuel B,15.43,10.03,154.75
Vessel B,7000,13.91,2890.1,0.413,926.2,Moderate,Green Fuel,2.77,49.22,136.57
Vessel D,9000,11.6,5497.9,0.611,1689.9,Moderate,Green Fuel,6.07,27.86,169.09
Vessel D,9000,16.15,8615.9,0.957,1774.1,Rough,Green Fuel,4.58,108.96,498.78
Vessel B,7000,10.54,4791.4,0.684,1624.0,Moderate,Green Fuel,6.42,21.6,138.7
Vessel B,7000,20.6,1887.7,0.27,2594.2,Moderate,Green Fuel,5.25,148.98,781.76
Vessel D,9000,21.46,5100.8,0.567,2881.2,Moderate,Green Fuel,5.59,185.71,1038.99
Vessel A,5000,14.06,3620.4,0.724,3229.4,Moderate,Fuel B,9.57,46.1,441.12
Vessel A,5000,21.46,2137.8,0.428,3249.5,Moderate,Fuel B,6.31,134.01,845.32
Vessel C,4000,13.85,1693.5,0.423,1047.1,Moderate,Fuel A,3.15,34.76,109.51
Vessel D,9000,17.54,8897.8,0.989,3815.7,Rough,Fuel B,9.07,144.71,1311.82
Vessel A,5000,10.26,2536.7,0.507,2388.0,Moderate,Fuel B,9.7,15.72,152.47
Vessel B,7000,10.28,2311.9,0.33,1066.0,Rough,Fuel A,4.32,17.92,77.44
Vessel D,9000,11.27,5172.7,0.575,998.4,Rough,Fuel B,3.69,29.79,109.96
Vessel A,5000,10.2,4592.6,0.919,1048.5,Moderate,Green Fuel,4.28,20.99,89.87
Vessel D,9000,10.35,8426.6,0.936,3447.2,Moderate,Green Fuel,13.88,26.97,374.17
Vessel C,4000,21.16,3101.8,0.775,525.9,Calm,Green Fuel,1.04,146.81,152.02
Vessel C,4000,19.88,1881.3,0.47,2203.7,Rough,Green Fuel,4.62,129.59,598.66
Vessel C,4000,12.6,3421.6,0.855,2144.8,Calm,Fuel B,7.09,27.82,197.27
Vessel C,4000,21.98,1602.1,0.401,3475.7,Rough,Fuel B,6.59,174.23,1147.83
Vessel A,5000,20.0,4201.0,0.84,3280.3,Calm,Fuel B,6.83,135.6,926.48
Vessel C,4000,14.44,1292.7,0.323,439.5,Calm,Fuel B,1.27,36.82,46.7
Vessel A,5000,17.98,3435.4,0.687,3689.3,Rough,Fuel B,8.55,111.03,949.23
Vessel B,7000,20.58,3177.5,0.454,2423.6,Rough,Fuel B,4.91,152.94,750.59
Vessel A,5000,18.89,4071.9,0.814,3856.6,Calm,Fuel A,8.51,115.38,981.37
Vessel D,9000,14.19,3775.6,0.42,1784.4,Calm,Fuel B,5.24,36.65,192.02
Vessel D,9000,20.13,4752.4,0.528,3693.7,Calm,Fuel B,7.65,113.43,867.26
Vessel C,4000,18.0,2136.9,0.534,3891.7,Calm,Green Fuel,9.01,75.09,676.31
Vessel B,7000,15.79,2946.3,0.421,2922.9,Moderate,Fuel A,7.71,56.0,432.0
Vessel A,5000,13.75,3150.4,0.63,2948.2,Calm,Fuel B,8.94,34.83,311.23
Vessel C,4000,21.49,2797.6,0.699,2183.3,Calm,Fuel A,4.23,160.59,679.64
Vessel A,5000,12.31,2117.0,0.423,788.7,Moderate,Fuel A,2.67,23.11,61.71
Vessel A,5000,8.06,1789.5,0.358,2636.1,Moderate,Fuel B,13.63,6.96,94.91
Vessel B,7000,10.29,6607.9,0.944,3587.4,Calm,Fuel A,14.52,20.76,301.57
Vessel B,7000,20.28,3476.0,0.497,3704.8,Moderate,Fuel A,7.61,128.2,976.07
Vessel B,7000,14.1,2396.2,0.342,1201.5,Calm,Green Fuel,3.55,41.76,148.27
Vessel C,4000,13.59,2112.4,0.528,448.0,Moderate,Green Fuel,1.37,35.92,49.34
Vessel A,5000,8.29,3076.4,0.615,445.2,Moderate,Fuel A,2.24,8.09,18.1
Vessel B,7000,14.66,5599.4,0.8,723.6,Calm,Fuel A,2.06,50.59,104.04
Vessel C,4000,14.02,2334.3,0.584,3011.7,Rough,Fuel A,8.95,49.78,445.55
Vessel D,9000,13.14,5042.5,0.56,3480.6,Rough,Fuel A,11.03,44.66,492.85
Vessel B,7000,13.78,2690.8,0.384,370.1,Moderate,Green Fuel,1.12,44.95,50.29
Vessel A,5000,16.9,4560.6,0.912,869.3,Rough,Fuel A,2.14,109.3,234.26
Vessel B,7000,15.57,5696.2,0.814,3184.0,Moderate,Fuel A,8.52,71.23,607.02
Vessel C,4000,16.92,2770.7,0.693,364.7,Calm,Fuel A,0.9,63.91,57.39
Vessel A,5000,21.99,3320.3,0.664,3182.7,Calm,Green Fuel,6.03,161.11,971.45
Vessel B,7000,15.48,6866.6,0.981,257.8,Rough,Fuel A,0.69,88.01,61.08
Vessel B,7000,19.44,2731.2,0.39,1850.1,Moderate,Fuel A,3.97,123.16,488.36
Vessel A,5000,13.09,4167.6,0.834,3989.0,Calm,Fuel A,12.7,37.33,473.95
Vessel D,9000,21.96,7591.1,0.843,3575.6,Moderate,Fuel B,6.78,223.92,1519.12
Vessel C,4000,19.39,2360.8,0.59,1671.5,Moderate,Fuel B,3.59,101.96,366.29
Vessel D,9000,8.19,3635.5,0.404,638.2,Rough,Green Fuel,3.25,11.77,38.23
Vessel C,4000,17.05,1370.8,0.343,3213.3,Rough,Fuel B,7.85,68.76,540.0
Vessel C,4000,13.17,1093.5,0.273,3397.2,Moderate,Green Fuel,10.75,28.45,305.82
Vessel A,5000,11.24,4865.2,0.973,1094.0,Moderate,Green Fuel,4.06,32.5,131.85
Vessel B,7000,14.12,5931.3,0.847,1987.8,Calm,Fuel B,5.87,49.87,292.59
Vessel B,7000,9.61,3510.8,0.502,3620.4,Moderate,Green Fuel,15.7,17.19,269.88
Vessel C,4000,12.61,2157.6,0.539,3924.2,Rough,Fuel A,12.97,32.99,427.94
Vessel B,7000,11.97,4713.8,0.673,287.2,Calm,Green Fuel,1.0,31.31,31.31
Vessel A,5000,20.85,1686.5,0.337,605.4,Calm,Fuel A,1.21,110.33,133.47
Vessel D,9000,8.96,4540.8,0.505,1465.5,Moderate,Fuel B,6.81,12.07,82.25
Vessel A,5000,14.46,4838.6,0.968,2763.1,Calm,Green Fuel,7.96,63.91,508.85
Vessel C,4000,14.78,1792.1,0.448,3695.6,Rough,Fuel B,10.42,47.5,494.99
Vessel A,5000,11.28,1583.2,0.317,433.3,Calm,Fuel A,1.6,17.53,28.06
Vessel A,5000,8.5,4898.7,0.98,3880.0,Calm,Green Fuel,19.02,11.2,213.05
Vessel C,4000,20.77,2039.0,0.51,3767.3,Calm,Fuel A,7.56,88.39,668.05
Vessel D,9000,19.99,3192.7,0.355,235.2,Calm,Fuel A,0.49,121.16,59.39
Vessel C,4000,10.05,1451.0,0.363,2244.8,Calm,Fuel A,9.31,11.1,103.33
Vessel B,7000,11.13,5522.8,0.789,2200.8,Moderate,Fuel B,8.24,23.21,191.14
Vessel C,4000,18.51,2418.5,0.605,1897.3,Rough,Fuel B,4.27,113.21,483.49
Vessel C,4000,15.94,2448.9,0.612,1832.3,Calm,Fuel B,4.79,53.69,257.07
Vessel D,9000,9.28,1950.9,0.217,3318.7,Calm,Fuel B,14.9,9.98,148.61
Vessel B,7000,15.44,4291.3,0.613,1433.0,Calm,Green Fuel,3.87,63.49,245.46
Vessel C,4000,20.6,3120.7,0.78,3538.2,Rough,Fuel A,7.16,156.56,1120.34
Vessel C,4000,12.35,3352.7,0.838,866.5,Calm,Fuel B,2.92,30.89,90.27
Vessel A,5000,16.62,1872.0,0.374,1795.8,Moderate,Fuel B,4.5,64.25,289.25
Vessel B,7000,13.4,5328.4,0.761,2682.6,Calm,Green Fuel,8.34,42.75,356.53
Vessel A,5000,15.87,1596.0,0.319,1481.8,Calm,Green Fuel,3.89,56.05,218.0
Vessel A,5000,11.12,4840.7,0.968,3300.4,Moderate,Green Fuel,12.37,25.92,320.49
Vessel A,5000,14.76,3678.3,0.736,911.5,Rough,Green Fuel,2.57,66.17,170.25
Vessel B,7000,18.01,5211.5,0.745,3775.6,Rough,Fuel B,8.74,133.59,1167.02
Vessel D,9000,11.76,4248.2,0.472,1302.6,Rough,Green Fuel,4.62,36.06,166.48
Vessel C,4000,20.41,1538.6,0.385,3818.9,Moderate,Green Fuel,7.79,124.32,969.01
Vessel B,7000,18.69,2336.0,0.334,3553.2,Calm,Fuel B,7.92,88.3,699.5
Vessel A,5000,11.01,4974.5,0.995,1903.7,Moderate,Fuel B,7.2,22.22,160.04
Vessel B,7000,12.49,2484.9,0.355,3541.2,Moderate,Green Fuel,11.82,33.19,392.23
Vessel C,4000,16.22,1422.7,0.356,1238.4,Moderate,Fuel B,3.18,50.24,159.86
Vessel C,4000,8.96,1472.3,0.368,2920.9,Calm,Fuel B,13.58,8.61,116.97
Vessel B,7000,19.81,3739.3,0.534,2523.1,Moderate,Fuel B,5.31,126.9,673.46
Vessel D,9000,16.03,8970.6,0.997,241.4,Rough,Fuel B,0.63,101.21,63.51
Vessel C,4000,21.14,1790.9,0.448,3773.6,Rough,Fuel A,7.44,153.97,1145.3
Vessel A,5000,19.16,2708.5,0.542,1840.1,Calm,Green Fuel,4.0,105.12,420.59
Vessel B,7000,21.45,6288.2,0.898,1859.0,Moderate,Fuel B,3.61,205.53,742.11
Vessel B,7000,14.48,6702.3,0.957,2908.7,Moderate,Fuel A,8.37,66.55,557.04
Vessel D,9000,14.81,6242.2,0.694,1094.7,Calm,Fuel A,3.08,56.12,172.87
Vessel D,9000,17.73,4499.4,0.5,3802.6,Moderate,Fuel A,8.94,94.9,848.2
Vessel D,9000,18.76,2450.7,0.272,1242.5,Moderate,Green Fuel,2.76,109.39,301.82
Vessel D,9000,12.59,4747.6,0.528,2798.3,Calm,Fuel B,9.26,30.43,281.92
Vessel A,5000,11.08,3029.8,0.606,617.5,Calm,Fuel B,2.32,20.19,46.89
Vessel B,7000,18.16,4815.0,0.688,1443.5,Moderate,Fuel A,3.31,99.28,328.8
Vessel A,5000,21.98,3353.3,0.671,2305.2,Calm,Fuel B,4.37,136.31,595.69
Vessel B,7000,18.84,1402.9,0.2,3508.6,Moderate,Green Fuel,7.76,85.45,663.03
Vessel D,9000,11.72,4367.1,0.485,561.0,Rough,Fuel B,1.99,30.39,60.59
Vessel B,7000,8.79,4715.3,0.674,1238.7,Calm,Fuel A,5.87,10.69,62.78
Vessel D,9000,12.99,4674.8,0.519,1393.3,Moderate,Green Fuel,4.47,46.44,207.58
Vessel A,5000,11.3,3770.2,0.754,301.2,Calm,Fuel A,1.11,20.96,23.27
Vessel B,7000,21.38,6335.4,0.905,1078.0,Calm,Green Fuel,2.1,211.56,444.55
Vessel C,4000,10.93,1798.0,0.45,1049.1,Calm,Fuel A,4.0,16.46,65.84
Vessel C,4000,17.56,3519.7,0.88,774.5,Calm,Fuel B,1.84,73.66,135.36
Vessel B,7000,10.4,3342.1,0.477,3002.2,Rough,Green Fuel,12.03,22.15,266.36
Vessel D,9000,14.86,4357.2,0.484,1544.9,Calm,Green Fuel,4.33,54.48,236.03
Vessel D,9000,20.24,2918.4,0.324,3064.6,Rough,Green Fuel,6.31,156.11,985.07
Vessel D,9000,10.76,2951.1,0.328,3826.7,Moderate,Fuel A,14.82,16.7,247.51
Vessel C,4000,19.02,3606.4,0.902,489.9,Moderate,Fuel B,1.07,112.27,120.47
Vessel A,5000,9.98,2515.2,0.503,3988.3,Moderate,Fuel A,16.66,15.17,252.62
Vessel D,9000,16.3,6027.2,0.67,944.9,Moderate,Green Fuel,2.42,83.93,202.73
Vessel C,4000,17.89,2623.7,0.656,444.4,Calm,Green Fuel,1.04,81.8,84.69
Vessel B,7000,11.57,1931.4,0.276,3600.7,Calm,Green Fuel,12.97,20.36,263.98
Vessel A,5000,12.15,1549.5,0.31,2954.9,Moderate,Green Fuel,10.13,27.28,276.48
Vessel B,7000,11.09,5536.9,0.791,2163.5,Calm,Fuel A,8.13,23.55,191.35
Vessel A,5000,17.4,1395.8,0.279,1998.8,Moderate,Fuel B,4.79,63.11,302.02
Vessel A,5000,13.83,1624.2,0.325,1450.6,Calm,Fuel B,4.37,30.77,134.51
Vessel A,5000,20.61,1566.0,0.313,3054.0,Moderate,Fuel B,6.17,111.5,688.34
Vessel A,5000,21.33,2332.9,0.467,3687.7,Moderate,Green Fuel,7.21,153.75,1107.77
Vessel C,4000,15.1,1688.1,0.422,3687.4,Moderate,Fuel B,10.18,45.63,464.32
Vessel D,9000,14.99,7386.0,0.821,1898.4,Calm,Fuel A,5.28,63.73,336.39
Vessel A,5000,20.85,2889.1,0.578,1320.0,Moderate,Green Fuel,2.64,161.71,426.61
Vessel D,9000,17.43,4922.8,0.547,3721.3,Calm,Fuel A,8.9,86.43,768.77
Vessel D,9000,20.13,3536.7,0.393,1917.2,Calm,Green Fuel,3.97,135.09,535.95
Vessel D,9000,14.26,2490.2,0.277,1916.7,Calm,Fuel B,5.6,37.83,211.86
Vessel C,4000,15.58,2410.2,0.603,1906.3,Calm,Green Fuel,5.1,58.48,298.19
Vessel C,4000,10.63,3791.3,0.948,2683.1,Moderate,Green Fuel,10.52,21.33,224.38
Vessel A,5000,14.57,3256.2,0.651,2456.7,Calm,Fuel A,7.02,44.37,311.63
Vessel C,4000,14.33,2514.0,0.629,3418.9,Rough,Fuel A,9.94,54.45,541.13
Vessel D,9000,16.88,3865.4,0.429,554.9,Calm,Fuel B,1.37,64.56,88.47
Vessel A,5000,9.46,2867.7,0.574,573.6,Calm,Green Fuel,2.53,13.74,34.72
Vessel B,7000,15.56,2278.4,0.325,1770.7,Moderate,Fuel B,4.74,53.33,252.92
Vessel B,7000,12.76,1979.8,0.283,3264.3,Calm,Fuel B,10.66,29.47,314.05
Vessel C,4000,16.81,2241.5,0.56,1399.4,Calm,Green Fuel,3.47,70.41,244.27
Vessel D,9000,9.51,5737.7,0.638,3339.9,Moderate,Fuel B,14.63,15.03,219.84
Vessel A,5000,16.71,3536.3,0.707,2675.4,Calm,Fuel B,6.67,62.95,420.06
Vessel C,4000,8.16,1802.5,0.451,3751.4,Moderate,Fuel A,19.16,7.01,134.19
Vessel A,5000,21.96,4116.2,0.823,2044.5,Moderate,Green Fuel,3.88,197.07,764.62
Vessel B,7000,17.92,5743.2,0.82,3569.4,Calm,Fuel B,8.3,97.28,807.39
Vessel C,4000,17.58,1744.0,0.436,3832.2,Calm,Fuel B,9.09,63.68,578.53
Vessel A,5000,17.23,4702.4,0.94,3275.2,Rough,Fuel A,7.92,117.05,927.03
Vessel A,5000,18.15,4432.2,0.886,1759.1,Calm,Fuel B,4.04,92.59,373.86
Vessel A,5000,12.87,2089.8,0.418,1825.3,Calm,Fuel A,5.91,28.21,166.63
Vessel C,4000,16.61,1065.7,0.266,1850.9,Calm,Green Fuel,4.64,56.02,260.1
Vessel C,4000,11.8,3446.8,0.862,2730.0,Calm,Fuel B,9.64,24.26,233.85
Vessel D,9000,12.43,6906.0,0.767,1430.5,Calm,Fuel B,4.79,34.0,162.99
Vessel D,9000,12.43,8127.5,0.903,3471.0,Calm,Fuel B,11.63,32.45,377.54
Vessel A,5000,12.74,1788.0,0.358,1140.3,Rough,Fuel A,3.73,34.22,127.64
Vessel C,4000,12.12,2320.8,0.58,1149.3,Calm,Fuel A,3.95,22.15,87.54
Vessel C,4000,19.02,945.2,0.236,1184.2,Calm,Fuel B,2.59,74.63,193.57
Vessel A,5000,10.67,2619.2,0.524,429.6,Moderate,Fuel A,1.68,19.77,33.14
Vessel D,9000,13.58,7852.9,0.873,2973.0,Moderate,Green Fuel,9.12,58.8,536.4
Vessel A,5000,14.06,1531.6,0.306,3226.3,Calm,Green Fuel,9.56,38.61,369.03
Vessel B,7000,21.17,1571.6,0.225,1015.9,Moderate,Fuel A,2.0,123.22,246.4
Vessel B,7000,20.1,5631.2,0.804,2561.1,Calm,Green Fuel,5.31,151.65,805.23
Vessel C,4000,18.29,1102.9,0.276,662.2,Calm,Fuel B,1.51,53.9,81.3
Vessel A,5000,21.14,4965.6,0.993,2317.9,Moderate,Fuel A,4.57,182.43,833.24
Vessel C,4000,18.99,2187.7,0.547,693.3,Calm,Green Fuel,1.52,96.88,147.38
Vessel C,4000,9.75,1686.3,0.422,1122.6,Calm,Fuel B,4.8,10.99,52.7
Vessel C,4000,8.09,1254.9,0.314,3132.3,Calm,Fuel A,16.14,5.82,93.9
Vessel C,4000,13.74,1040.6,0.26,1508.4,Moderate,Fuel A,4.57,32.04,146.51
Vessel A,5000,10.83,3818.6,0.764,470.6,Rough,Green Fuel,1.81,29.46,53.33
Vessel A,5000,14.7,3049.1,0.61,3594.8,Moderate,Fuel A,10.19,47.29,481.82
Vessel C,4000,13.02,3697.8,0.924,2169.3,Moderate,Fuel B,6.94,35.81,248.62
Vessel C,4000,13.64,3587.8,0.897,751.5,Calm,Fuel A,2.3,37.27,85.54
Vessel D,9000,8.17,8180.1,0.909,1719.2,Calm,Fuel B,8.76,10.03,87.93
Vessel A,5000,17.82,4482.9,0.897,2453.0,Moderate,Fuel B,5.74,102.27,586.72
Vessel A,5000,12.26,2818.0,0.564,2393.0,Calm,Green Fuel,8.13,30.23,245.77
Vessel A,5000,11.06,3590.1,0.718,2978.1,Rough,Fuel B,11.22,25.72,288.62
Vessel C,4000,11.14,1650.6,0.413,2093.3,Calm,Fuel B,7.83,15.51,121.41
Vessel B,7000,14.44,5150.9,0.736,781.8,Calm,Green Fuel,2.26,59.22,133.59
Vessel C,4000,9.34,842.2,0.211,664.8,Moderate,Fuel A,2.96,8.73,25.88
Vessel A,5000,8.72,3760.1,0.752,488.8,Moderate,Fuel A,2.34,12.54,29.29
Vessel A,5000,15.51,3183.3,0.637,881.8,Calm,Fuel B,2.37,53.38,126.47
Vessel A,5000,13.55,2940.4,0.588,1203.0,Moderate,Green Fuel,3.7,40.97,151.53
Vessel A,5000,9.88,1772.3,0.354,1178.0,Rough,Green Fuel,4.97,16.78,83.39
Vessel D,9000,19.77,4645.4,0.516,2880.1,Rough,Fuel B,6.07,151.41,919.07
Vessel D,9000,20.16,5935.4,0.659,1414.5,Calm,Green Fuel,2.92,143.34,419.02
Vessel C,4000,16.51,3299.5,0.825,3212.0,Moderate,Fuel B,8.11,65.43,530.41
Vessel D,9000,15.1,5262.2,0.585,3789.0,Calm,Fuel A,10.45,51.42,537.52
Vessel A,5000,12.43,4202.8,0.841,1509.3,Moderate,Fuel A,5.06,31.37,158.75
Vessel C,4000,10.35,2805.5,0.701,1719.4,Moderate,Fuel B,6.92,16.6,114.95
Vessel A,5000,18.9,4324.8,0.865,3704.4,Calm,Green Fuel,8.17,131.65,1075.26
